Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
July-2016,403.70,453.00,396.90,447.10,9694495,184393,4054382811.00,56.10,1492740,15.40,43.40,
August-2016,455.00,539.55,417.50,531.85,12452593,240214,5859922966.00,122.05,1600068,12.85,76.85,
September-2016,530.50,595.70,520.30,546.95,14671314,287911,8230101621.00,75.40,1521474,10.37,16.45,
October-2016,554.90,585.90,512.65,518.15,9068157,155166,5034476486.00,73.25,1217382,13.42,-36.75,
November-2016,523.65,527.20,410.50,439.00,10377033,163261,4755827601.00,116.70,1115240,10.75,-84.65,
December-2016,440.40,461.35,407.50,431.00,8323580,122725,3621255972.00,53.85,896600,10.77,-9.40,
January-2017,433.95,471.00,430.35,449.80,6036038,99479,2736340266.00,40.65,731418,12.12,15.85,
February-2017,450.00,538.90,444.30,532.70,9432918,159530,4709674696.00,94.60,1189227,12.61,82.70,
March-2017,535.15,619.30,516.50,615.20,13529304,232462,7828504982.00,102.80,1666966,12.32,80.05,
April-2017,617.90,690.85,596.75,664.95,10143666,164381,6398715325.00,94.10,1246012,12.28,47.05,
May-2017,666.00,693.10,524.00,561.40,12899354,215187,7960358504.00,169.10,1489359,11.55,-104.60,
June-2017,565.20,663.50,545.45,643.25,10993077,190871,6583321701.00,118.05,1354065,12.32,78.05,
July-2017,644.50,734.70,637.30,722.70,18805613,146811,12477492816.00,97.40,8161657,43.40,78.20,
August-2017,725.00,817.75,712.85,804.00,13239347,204536,10234039428.00,104.90,2351815,17.76,79.00,
September-2017,813.00,877.80,580.00,586.35,13476840,226136,9963986424.00,297.80,1887633,14.01,-226.65,
October-2017,589.00,595.75,531.75,576.25,11115749,146602,6253073323.00,64.00,1888196,16.99,-12.75,
November-2017,579.00,591.00,400.20,433.40,15951862,207877,7402740451.00,190.80,2307370,14.46,-145.60,
December-2017,434.90,604.75,397.95,578.70,16819600,199872,8231776194.00,206.80,1902362,11.31,143.80,
January-2018,581.35,626.30,484.20,490.20,18594525,227103,10602013650.00,142.10,1984458,10.67,-91.15,
February-2018,491.35,521.00,413.05,472.20,13217246,157485,6229152768.00,107.95,1180615,8.93,-19.15,
March-2018,473.00,475.95,394.35,423.50,10981411,119532,4708752835.00,81.60,1188147,10.82,-49.50,
April-2018,427.00,461.60,415.95,435.10,6922682,78305,3047330710.00,45.65,801749,11.58,8.10,
May-2018,436.10,448.75,364.10,418.10,10723745,114029,4288600298.00,84.65,1392224,12.98,-18.00,
June-2018,420.90,434.75,381.50,387.70,7315955,85813,3009058906.00,53.25,779729,10.66,-33.20,
July-2018,388.70,425.35,334.50,421.60,11831570,125235,4426014486.00,90.85,1434089,12.12,32.90,
August-2018,421.00,437.50,399.40,430.20,4071471,39045,1701115004.00,38.10,222199,5.46,9.20,
@ Shares traded in Physical form
