Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
Jun-01,142.25,144.75,112.85,115.8,25964760,114053,3339777307,31.9,,,-26.45
Jul-01,120,121.7,89.2,94.05,19419208,124034,1947990365,32.5,,,-25.95
Aug-01,94.4,95.9,79.8,80,5110797,38760,452538895,16.1,,,-14.4
Sep-01,80.5,86.55,66.9,69.55,9033119,61905,695044936,19.65,,,-10.95
Oct-01,70.4,82,68.65,75.3,6600217,46682,501326385,13.35,,,4.9
Nov-01,75.65,96,75,89.8,9815481,54238,854284444,21,,,14.15
Dec-01,90,98.5,79.5,87.2,6321915,40403,579011649,19,,,-2.8
Jan-02,88.35,114,85.5,100.5,11405246,77126,1160339922,28.5,,,12.15
Feb-02,101.6,115.45,97.7,105.55,11768984,70481,1276798495,17.75,2477054,21.05,3.95
Mar-02,104,116.75,96.5,97.65,7548334,47877,777149840,20.25,3467764,45.94,-6.35
Apr-02,98.4,114.1,97.5,111.2,8405429,51844,892837224,16.6,3655255,43.49,12.8
May-02,113.1,122.9,104.05,109.75,7642349,50472,872294154,18.85,3706491,48.5,-3.35
Jun-02,112.9,142,112.75,140.5,24609423,121735,3198197912,29.25,7313777,29.72,27.6
Jul-02,142,147.6,117.55,125.2,23442482,124234,3186688489,30.05,5563042,23.73,-16.8
Aug-02,126.25,127.05,113.25,123.6,19683452,106066,2366132444,13.8,5351701,27.19,-2.65
Sep-02,124.6,126.65,114.65,116.1,6930499,41683,829397732,12,2547250,36.75,-8.5
Oct-02,115.75,126.65,113,125.25,7801675,48171,942049905,13.65,2571636,32.96,9.5
Nov-02,126.9,140.2,122.75,139.55,17034425,93665,2236231086,17.45,4258623,25,12.65
Dec-02,140.4,152,135,151.5,21897278,110486,3126532148,17,6852078,31.29,11.1
Jan-03,152.1,163.5,144.75,152.15,24946911,125999,3850468241,18.75,6206613,24.88,0.05
Feb-03,154.5,159.9,146.75,150.1,22625641,111337,3456933553,13.15,5962527,26.35,-4.4
Mar-03,151,152.4,131.35,133.75,24703182,121904,3433947744,21.05,7494432,30.34,-17.25
